resource_name,url,status,verdict,note,resource_subtype,discovery_source,tier
K-12 Science Standards Aligned Learning Framework Dataset,https://huggingface.co/datasets/robworks-software/k12-science-standards,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Near Ready: documentation insufficient; relevance + license clear
K-12 Mathematics Standards-Aligned Dataset,https://huggingface.co/datasets/robworks-software/k12-mathematics-standards-aligned,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Near Ready: documentation insufficient; relevance + license clear
K-12 Social Studies Standards-Aligned Learning Framework Dataset,https://huggingface.co/datasets/robworks-software/k12-social-studies-standards,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Near Ready: documentation insufficient; relevance + license clear
K12-KGraph,https://huggingface.co/datasets/lhpku20010120/K12-KGraph,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Near Ready: license insufficient; relevance + documentation clear
pedagogy-luganda-reviewed,https://huggingface.co/datasets/CraneAILabs/pedagogy-luganda-reviewed,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Near Ready: relevance weak; documentation + license clear
Question-Anchored-Tutoring-Dialogues-2k,https://huggingface.co/datasets/Eedi/Question-Anchored-Tutoring-Dialogues-2k,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Near Ready: license insufficient; relevance + documentation clear
MM-K12,https://huggingface.co/datasets/Cierra0506/MM-K12,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Near Ready: documentation insufficient; relevance + license clear
BharatLLM K-12 Indian Curriculum Dataset (4.9M),https://huggingface.co/datasets/FoundryAILabs/k12-indian-curriculum-4.9m,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Near Ready: relevance weak; documentation + license clear
ijanhq8809/k12-ela-standards,https://huggingface.co/datasets/ijanhq8809/k12-ela-standards,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Near Ready: documentation insufficient; relevance + license clear
GYPCC2/korean-tutoring-persona-dataset,https://huggingface.co/datasets/GYPCC2/korean-tutoring-persona-dataset,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Near Ready: documentation insufficient; relevance + license clear
MathDial: A Dialogue Tutoring Dataset with Rich Pedagogical Properties Grounded in Math Reasoning Problems,https://huggingface.co/datasets/eth-nlped/mathdial,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Ready: relevance + documentation + license clear
EdNet: A Large-Scale Hierarchical Dataset in Education,https://huggingface.co/papers/1912.03072,429,ratelimited,"rate limited after retries - inconclusive, not a broken link",Dataset,,Near Ready: license insufficient; relevance + documentation clear
K-12 Enhanced Educational Dataset with School Directory Integration,https://huggingface.co/datasets/robworks-software/k12-enhanced-with-school-directory,200,ok,"429, retrying after 3s",Dataset,,Near Ready: documentation insufficient; relevance + license clear
Texas K-12 Comprehensive Educational Standards Dataset (TEKS),https://huggingface.co/datasets/robworks-software/texas-k12-curriculum-standards-teks,200,ok,"429, retrying after 3s",Dataset,,Near Ready: documentation insufficient; relevance + license clear
California K-12 Comprehensive Educational Standards Dataset,https://huggingface.co/datasets/robworks-software/california-k12-comprehensive,200,ok,"429, retrying after 3s",Dataset,,Near Ready: documentation insufficient; relevance + license clear
Luganda Pedagogy Examples for Teacher Companion AI,https://huggingface.co/datasets/CraneAILabs/pedagogy-luganda-replaced,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
ruTeacherTalk: Teacher Talk Techniques in Russian Schools,https://huggingface.co/datasets/ai-education/ruTeacherTalk,200,ok,,Dataset,,Not Ready: multiple insufficiencies
NMT Education Parallel Data (English-Kinyarwanda),https://huggingface.co/datasets/mbazaNLP/NMT_Education_parallel_data_en_kin,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
Educational Query Classification Dataset,https://huggingface.co/datasets/haider0941/Educational_Noneducational_Dataset,200,ok,,Dataset,,Not Ready: multiple insufficiencies
Vectorstore Dataset: Academic Tutoring,https://huggingface.co/datasets/meetara-lab/vectorstore-academic_tutoring,200,ok,,Dataset,,Not Ready: multiple insufficiencies
Chess Explained SF6 K-12 Curriculum (20%),https://huggingface.co/datasets/ritwika96/chess-explained-sf6-k12-curriculum-20pct,200,ok,,Dataset,,Not Ready: multiple insufficiencies
Chess Explained SF6 K-12 Curriculum (500k),https://huggingface.co/datasets/ritwika96/chess-explained-sf6-k12-curriculum-500k,200,ok,,Dataset,,Not Ready: multiple insufficiencies
robworks-software/k12-science-standards-expanded,https://huggingface.co/datasets/robworks-software/k12-science-standards-expanded,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
robworks-software/k12-special-education-accommodations,https://huggingface.co/datasets/robworks-software/k12-special-education-accommodations,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
Ultimate K-12 ELA Standards Dataset,https://huggingface.co/datasets/robworks-software/ultimate-k12-ela-standards,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
K-12 Digital Learning Platforms Research Dataset,https://huggingface.co/datasets/robworks-software/k12-digital-learning-platforms-research,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
US K-12 Schools Comprehensive Dataset,https://huggingface.co/datasets/robworks-software/us-k12-schools-comprehensive,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
K-12 Computer Science Comprehensive Standards Dataset,https://huggingface.co/datasets/robworks-software/k12-computer-science-comprehensive,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
Student_feedback_analysis_dataset,https://huggingface.co/datasets/NLPC-UOM/Student_feedback_analysis_dataset,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
K-12 Business and Economics Comprehensive Standards Dataset,https://huggingface.co/datasets/robworks-software/k12-business-economics-comprehensive,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
opendatalab/K12textbook,https://huggingface.co/datasets/opendatalab/K12textbook,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
simonguest/marathi-k12-conversations,https://huggingface.co/datasets/simonguest/marathi-k12-conversations,200,ok,,Dataset,,Not Ready: multiple insufficiencies
ryandt/datasets.for.education-writing-strategies,https://huggingface.co/datasets/ryandt/datasets.for.education-writing-strategies,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
Fralet/educationalPrograms,https://huggingface.co/datasets/Fralet/educationalPrograms,200,ok,,Dataset,,Not Ready: multiple insufficiencies
letinnghia/student-feedbacks,https://huggingface.co/datasets/letinnghia/student-feedbacks,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
Daye34/student_feedback_pattern_recognition,https://huggingface.co/datasets/Daye34/student_feedback_pattern_recognition,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
Daye34/student_feedback_pattern_recognition_short_summary,https://huggingface.co/datasets/Daye34/student_feedback_pattern_recognition_short_summary,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
Daye34/student_feedback_pattern_recognition_large_summary,https://huggingface.co/datasets/Daye34/student_feedback_pattern_recognition_large_summary,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
Daye34/student_feedback_pattern_recognition_medium_summary,https://huggingface.co/datasets/Daye34/student_feedback_pattern_recognition_medium_summary,200,ok,,Dataset,,Near Ready: documentation insufficient; relevance + license clear
janerkegb/synthetic-student-feedback,https://huggingface.co/datasets/janerkegb/synthetic-student-feedback,200,ok,,Dataset,,Not Ready: multiple insufficiencies
mteb/vie_student_feedback,https://huggingface.co/datasets/mteb/vie_student_feedback,200,ok,,Dataset,,Not Ready: multiple insufficiencies
Philseok/student-feedback,https://huggingface.co/datasets/Philseok/student-feedback,200,ok,,Dataset,,Not Ready: multiple insufficiencies
