"title","source","source_type","deadline","posted","award_ceiling","estimated_funding","indirect_rate","eligibility","fit","number","url","matched_terms","description"
"Office of Special Education and Rehabilitative Services (OSERS): Office of Special Education Programs (OSEP): Accessible Education Video Projects; Assistance Listing Number (ALN) 84.327C","Holly Clark Management and Program Analyst","","2026-06-26","2026-04-27","1050000","3150000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","62","ED-GRANTS-042726-001","https://www.grants.gov/search-results-detail/362074","open; learning; k-12; technology","Program Description: The purpose of the Educational Technology, Media, and Materials for Individuals with Disabilities Program is to improve results for children with disabilities by (1) promoting the development, demonstration, and use of technology; (2) supporting educational activities designed to be of educational value in the classroom for students with disabilities; (3) providing support for captioning and video description that is appropriate for use in the classroom; and (4) providing accessible educational materials to students with disabilities in a timely manner. This competition establishes Accessible Education Video Projects that are designed to meet requirements under the Individuals with Disabilities Education Act (IDEA). Specifically, section 674(c) of IDEA requires, in part, that the Secretary of Education support audio description, open captioning, and closed captioning that is appropriate for use in early learning and kindergarten through grade 12 (K-12) settings of (a) television programs; (b) videos; or (c) other materials, including programs and materials associated with new and emerging technologies. ALN: 84.327C. Applicants are required to follow the 2025 Common Instructions and Information for Applicants to Department of Education Discretionary Grant Programs, published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions. Note: For new potential grantees unfamiliar with grantmaking at ED, please consult our “ Getting Started with Discretionary Grant Applications ” webpage ."
"Office of Special Education and Rehabilitative Services (OSERS): Office of Special Education Programs (OSEP): National Center for Accessible Education Videos; Assistance Listing Number: 84.327N","Holly Clark Management and Program Analyst","","2026-06-26","2026-04-27","","2600000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","62","ED-GRANTS-042726-002","https://www.grants.gov/search-results-detail/362075","open; learning; k-12; technology","Program Description: The purpose of the Educational Technology, Media, and Materials for Individuals with Disabilities Program is designed to improve results for children with disabilities by (1) promoting the development, demonstration, and use of technology; (2) supporting educational activities designed to be of educational value in the classroom for students with disabilities; (3) providing support for captioning and video description that is appropriate for use in the classroom; and (4) providing accessible educational materials to students with disabilities in a timely manner. In alignment with the requirements in the Individuals with Disabilities Education Act (IDEA), this competition establishes a National Center on Accessible Education Videos. Specifically, section 674(c) requires, in part, that the Secretary of Education support video and audio description, open captioning, and closed captioning, which is appropriate for use in early learning and kindergarten through grade 12 (K-12) settings of (a) television programs, (b) videos, and (c) other materials, including programs and materials associated with new and emerging technologies. Additionally, this section requires support of distributing such materials through such mechanisms as a loan service. ALN: 84.327N. Applicants are required to follow the 2025 Common Instructions and Information for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions . Note: For new potential grantees unfamiliar with grantmaking at ED, please consult our “ Getting Started with Discretionary Grant Applications ” webpage ."
"FY 26 Postsecondary Student Success Grant 84.116M","Office of Postsecondary Education","","2026-06-29","2026-05-28","8000000","45000000","","Public and State controlled institutions of higher education; Private institutions of higher education; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education","100","ED-GRANT-26-038","https://www.grants.gov/search-results-detail/362602","data; outcomes; evidence; postsecondary; student success; retention; completion; transfer","The purpose of PSSG is to improve postsecondary student outcomes, including retention, transfer, credit accumulation, and completion, by leveraging data and implementing, scaling, and rigorously evaluating evidence-based strategies."
"Office of Elementary and Secondary Education (OESE): Comprehensive Centers Program: National Comprehensive Center on Improving Literacy for Students with Disabilities; ALN 84.283D","Holly Clark Management and Program Analyst","","2026-06-30","2026-05-11","1500000","1485000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","62","ED-GRANTS-051126-001","https://www.ed.gov/grants-and-programs/grants-birth-grade-12/school-and-community-improvement-grants/comprehensive-centers-program-national-comprehensive-center-improving-literacy-students","outcomes; literacy; disability; skills","Program Description: The purpose of the Comprehensive Centers (CC) program is to provide capacity-building services to state educational agencies (SEAs), regional educational agencies (REAs), local educational agencies (LEAs), and schools that improve educational opportunities and student outcomes, close achievement gaps, and improve the quality of instruction for all students, particularly for groups of students with the greatest need. The Department intends to fund one Content Center, a National Comprehensive Center on Improving Literacy for Students with Disabilities (NCIL) focused on children in early childhood education programs through high school at risk of not attaining full literacy skills due to a disability, including dyslexia impacting reading or writing, or developmental delay impacting reading, writing, language processing, comprehension, or executive functioning. Assistance Listing Number: 84.283D Applicants are required to follow the 2025 Common Instructions for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions . Note: For new potential grantees unfamiliar with grantmaking at ED, please consult our “ Getting Started with Discretionary Grant Applications ” webpage."
"Office of Elementary and Secondary Education (OESE): Program and Grantee Support Services: Comprehensive Centers Program, Assistance Listing Number 84.283B","Holly Clark Management and Program Analyst","","2026-06-30","2026-05-08","","46015000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","50","ED-GRANTS-050826-001","https://www.ed.gov/grants-and-programs/grants-birth-grade-12/school-and-community-improvement-grants/comprehensive-centers-program","outcomes","Program Description: The purpose of the Comprehensive Centers (CC) program is to provide capacity-building services to state educational agencies (SEAs), regional educational agencies (REAs), local educational agencies (LEAs), and schools that improve educational opportunities and student outcomes, close achievement gaps, and improve the quality of instruction for all students, particularly for groups of students with the greatest need. Assistance Listing Number: 84.283B Applicants are required to follow the 2025 Common Instructions for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions . Note: For new potential grantees unfamiliar with grantmaking at ED, please consult our “ Getting Started with Discretionary Grant Applications ” webpage."
"OSERS-OSEP: Personnel Preparation of Special Education, Early Intervention, and Related Services Personnel, Assistance Listing Number (ALN) 84.325K","Holly Clark Management and Program Analyst","","2026-07-02","2026-05-13","350000","8750000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","76","ED-GRANTS-051326-002","https://www.grants.gov/search-results-detail/362374","learning; intervention; evidence; skills","Program Description: The purposes of the Personnel Development to Improve Services and Results for Children with Disabilities program are to (1) help address State-identified shortages and needs for personnel preparation in special education and early intervention, including infants and toddlers, and youth with disabilities; and (2) ensure that those personnel have the necessary skills and knowledge, derived from practices that have been determined through scientifically based research, to be successful in serving those children. The purpose of the Personnel Preparation of Special Education, Early Intervention, and Related Services Personnel (84.325K) competition is to prepare and increase the number of personnel who have the necessary qualifications to serve children with disabilities. Under this absolute priority, ED will fund grantees that use evidence-based strategies to prepare scholars in special education, early intervention, and related services at the bachelor’s degree, certification, master’s degree, educational specialist degree, or clinical doctoral degree levels to serve in a variety of settings, including natural environments (the home and community settings in which children with and without disabilities participate), early learning programs, child care, classrooms, and schools. Assistance Listing Number (ALN): 84.325K. Applicants are required to follow the 2025 Common Instructions for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions . Note: For new potential grantees unfamiliar with grantmaking at ED, please consult our “ Getting Started with Discretionary Grant Applications ” webpage."
"Training Program for Federal TRIO Programs","Office of Postsecondary Education","","2026-07-06","2026-05-21","1100000","4100000","","Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education; Public and State controlled institutions of higher education; Private institutions of higher education; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education","68","ED-GRANT-26-026","https://www.grants.gov/search-results-detail/362512","postsecondary; trio","Administration at the U.S. Department of Labor (Labor), is soliciting applications in support of the administration of the TRIO Training Program on behalf of the U.S. Department of Education (ED). The purpose of the Training Program for Federal TRIO Programs (Training Program) provides grants to train the staff and leadership personnel employed in, participating in, or preparing for employment in, projects funded under the Federal TRIO Programs, to improve project operation."
"Office of Postsecondary Education (OPE): Centers Aligned with Areas for National Need (CAANN) Program Assistance Listing Number: 84.015C","Holly Clark Management and Program Analyst","","2026-07-07","2026-06-05","","70000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","54","ED-GRANTS-060526-001","https://www.grants.gov/search-results-detail/362705","postsecondary; higher education","Program Description: In coordination with the Bureau of Educational and Cultural Affairs at the U.S. Department of State (State), the U.S. Department of Education (ED) is soliciting applications in support of the administration of the Centers Aligned with Areas for National Need program. This program provides grants to institutions of higher education (IHEs) or consortia of IHEs to address one or more of the following areas of national need by teaching languages of strategic importance to the United States’ national security and economic prosperity, such as Spanish, Portuguese, Italian, Hungarian, Polish, Russian, Czech, Arabic, Swahili, Hausa, Hindi, Urdu, Mandarin, Korean, Japanese, Farsi, Bahasa, Thai, and other languages; providing instruction in fields needed to provide understanding of areas, regions, or countries in which the language is used; supporting research and training in international studies and the international and foreign language aspects of professional and other fields of study; and advancing the national security interests of the United States by providing instruction on critical regions such as Latin America, Europe, Eurasia, Middle East, Africa, and Asia. Assistance Listing Number: 84.015C. Applicants are required to follow the 2025 Common Instructions for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions ."
"American History and Civics National Activities - 84.422B","Office of Elementary and Secondary Education","","2026-07-13","2026-05-26","","19800000","","Public and State controlled institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education; For profit organizations other than small businesses; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Private institutions of higher education","90","DOL-OESE-34068","https://www.ed.gov/grants-and-programs/grants-birth-grade-12/well-rounded-education-grants/american-history-and-civics-national-activities-grants","learning; evidence; professional development; implementation","The Employment and Training Administration at the U.S. Department of Labor (DOL) is soliciting applications in support of the administration of the American History and Civics Education – National Activities (AHC-NA) program on behalf of the U.S. Department of Education (ED). The purpose of the AHC-NA program is to promote new and existing evidence-based strategies to encourage innovative American history, civics and government, and geography instruction, learning strategies, and professional development activities and programs for teachers, principals, or other school leaders, particularly such instruction, strategies, activities, and programs that benefit students from low-income backgrounds and other underserved populations. America""s 250th anniversary is a particularly appropriate time to promote innovative teaching and learning that unites our country, honors our history, promotes informed citizenship, and cherishes our freedom as we build the golden age of opportunity. ED encourages applications to include strong partnerships and active collaboration between eligible entities, local educational agencies, and State educational agencies in their design and proposed implementation. Project activities should reflect the best available research and practice in teaching and learning."
"OSERS-OSEP: Expanding Career Pathways and Workforce Readiness of Special Education Teachers and Early Intervention Personnel Through Registered Apprenticeships, Assistance Listing Number (ALN) 84.325J","Holly Clark Management and Program Analyst","","2026-07-13","2026-05-13","1000000","7000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","74","ED-GRANTS-051326-001","https://www.grants.gov/search-results-detail/362373","learning; intervention; workforce; career; career pathways; skills; pathways","Program Description: The purposes of the Personnel Development to Improve Services and Results for Children with Disabilities program are to (1) help address State-identified shortages and needs for personnel preparation in special education and early intervention, including infants, toddlers, children, and youth with disabilities; and (2) ensure that those personnel have the necessary skills and knowledge, derived from practices that have been determined through scientifically based research, to be successful in serving those children. The purpose of the Expanding Career Pathways and Workforce Readiness of Special Education Teachers and Early Intervention Personnel Through Registered Apprenticeships competition is to fund cooperative agreements that support registered apprenticeship1 programs that attract, prepare, and retain special education teachers or early intervention personnel. This priority is particularly relevant for special education and early intervention, where high-quality preparation must be accessible, practice-based, and closely integrated with service delivery systems. Preparing qualified special education teachers and early intervention personnel through registered apprenticeship programs addresses critical workforce shortages, integrating work-based learning, and connecting preparation with local and State labor demands. 1Note: ED encourages applicants to consider the definition of Registered Apprenticeship Program as defined in 5 CFR 362.102 and 29 CFR part 29. Assistance Listing Number: 84.325J. Applicants are required to follow the 2025 Common Instructions for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions . Note: For new potential grantees unfamiliar with grantmaking at ED, please consult our “ Getting Started with Discretionary Grant Applications ” webpage."
