record_id,resource_name,author_name,url,resource_subtype,final_readiness_index_tier,final_tier_reason_details,relevance_status,documentation_status_clean,license_status_clean,subject_area,grade_span,grade_span_group,population_stakeholder,educational_use_case,license_status,documentation_status,row_count_or_size,author_institution,institution_country,artifact_location,original_information,dataset_artifact_status,dataset_artifact_evidence,public_good_dataset_confidence,public_good_dataset_confidence_reason,discovery_date,discovery_source,notes,publication_date,fit_score,is_downloadable,verification_note
hf_dataset_ffcfd3387839,K-12 Science Standards Aligned Learning Framework Dataset,,https://huggingface.co/datasets/robworks-software/k12-science-standards,Dataset,Near Ready: documentation insufficient; relevance + license clear,"Downgraded after consistency audit: K-12 relevance is clear, but provenance/source construction and generated AI-training-sample content should be verified before Ready status.",Strong K-12 relevance,Partial documentation,Open/reusable license,Science; Life Sciences; Physical Sciences; Earth & Space Sciences; Engineering Design,K-12,K-12 or pre-K-12,general students,Training and evaluating educational AI systems; curriculum development; assessment research; learning analytics; teacher professional development.,Open (MIT),Sufficient for review,6787,robworks-software,USA,Hugging Face dataset repository,"Evidence: Hugging Face dataset: # K-12 Science Standards Aligned Learning Framework Dataset A comprehensive dataset of K-12 science curriculum standards aligned with the Next Generation Science Standards (NGSS), designed for training and evaluating educational AI systems. ## Dataset Overview This dataset contains **6,787 examples** of educational content spanning all K-12 grade levels and science domains. Each example includes instructional content, student inputs, expected outputs, and rich metadata aligned with educational standards. ### Quick Stats - **Total Examples**: 6,787 (Train: 4,750 | Validati | Artifact: Hugging Face dataset repository | Notes: Artifact location: Hugging Face dataset repository.",Dataset/artifact likely available,Hugging Face dataset repository URL plus retained dataset inventory row.,Medium - plausible dataset public good; one or more factors need verification,"Dataset/artifact evidence is present, but license, documentation, access, or grade-span relevance still needs verification.",,,,2025-09-17,,True,v18 - verified
hf_dataset_54737d82e72f,K-12 Mathematics Standards-Aligned Dataset,,https://huggingface.co/datasets/robworks-software/k12-mathematics-standards-aligned,Dataset,Near Ready: documentation insufficient; relevance + license clear,"Downgraded after consistency audit: K-12 relevance is clear, but provenance/source construction and generated AI-training-sample content should be verified before Ready status.",Strong K-12 relevance,Partial documentation,Open/reusable license,Mathematics,K-12,K-12 or pre-K-12,general students,Educational content generation; standards-aligned assessment creation; mathematics tutoring AI systems; adaptive learning applications.,Open (CC BY 4.0),Sufficient for review,4397,robworks-software,USA,Hugging Face dataset repository,Evidence: Hugging Face dataset: # K-12 Mathematics Standards-Aligned Dataset ## Dataset Description Complete K-12 mathematics standards dataset for AI training and educational technology development ### Dataset Summary This dataset contains **409 educational standards** with **4397 AI training samples** designed for: - Educational content generation - Standards-aligned assessment creation - Mathematics tutoring AI systems - Adaptive learning applications ### Supported Tasks - **Text Generation**: Generate educational content aligned with mathematics standards - **Question Answering**: Build mathematics | Artifact: Hugging Face dataset repository | Notes: Artifact location: Hugging Face dataset repository.,Dataset/artifact likely available,Hugging Face dataset repository URL plus retained dataset inventory row.,Medium - plausible dataset public good; one or more factors need verification,"Dataset/artifact evidence is present, but license, documentation, access, or grade-span relevance still needs verification.",,,,2025-09-17,,True,v18 - verified
hf_dataset_a2f111bc2e38,K-12 Social Studies Standards-Aligned Learning Framework Dataset,,https://huggingface.co/datasets/robworks-software/k12-social-studies-standards,Dataset,Near Ready: documentation insufficient; relevance + license clear,"Downgraded after consistency audit: K-12 relevance is clear, but provenance/source construction and generated AI-training-sample content should be verified before Ready status.",Strong K-12 relevance,Partial documentation,Open/reusable license,Social Studies; Civics; History; Geography; Economics,K-12,K-12 or pre-K-12,general students; teachers/educators; diverse learners,Educational technology applications; curriculum development; instructional design; AI tutoring; content recommendation; teacher professional development; research applications.,Open (CC BY 4.0),Sufficient for review,15982,robworks-software,USA,Hugging Face dataset repository,"Evidence: Hugging Face dataset: # K-12 Social Studies Standards-Aligned Learning Framework Dataset A comprehensive dataset of standards-aligned social studies educational content for K-12 instruction, covering civics, history, geography, and economics domains with rich pedagogical metadata. ## Dataset Summary This dataset contains **15,982 examples** of instructional content aligned with major social studies education frameworks including the C3 Framework, NCSS Thematic Standards, and domain-specific standards. Each example includes detailed pedagogical metadata to support educational technology applica | Artifact: Hugging Face dataset repository | Notes: Artifact location: Hugging Face dataset repository.",Dataset/artifact likely available,Hugging Face dataset repository URL plus retained dataset inventory row.,Medium - plausible dataset public good; one or more factors need verification,"Dataset/artifact evidence is present, but license, documentation, access, or grade-span relevance still needs verification.",,,,2025-09-17,,True,v18 - verified
hf_dataset_c79cce0d41cb,K12-KGraph,,https://huggingface.co/datasets/lhpku20010120/K12-KGraph,Dataset,Near Ready: license insufficient; relevance + documentation clear,Near Ready: license insufficient; relevance + documentation clear. Relevance: Strong K-12 relevance; Documentation: Sufficient documentation; License: Noncommercial/reuse constrained.,Strong K-12 relevance,Sufficient documentation,Noncommercial/reuse constrained,Mathematics; Physics; Chemistry; Biology,K-12,K-12 or pre-K-12,students / learners; teachers / educators; researchers / developers,Benchmarking and training educational LLMs; curriculum cognition (structured understanding of school knowledge); supervised fine-tuning of educational LLMs.,Non-commercial (CC BY-NC-SA 4.0),Sufficient for review,small,Hugging Face,Not specified,Hugging Face dataset repository,"Evidence: Hugging Face dataset: # K12-KGraph This repository contains the dataset release for the paper **""K12-KGraph: A Curriculum-Aligned Knowledge Graph for Benchmarking and Training Educational LLMs""**. ## Overview K12-KGraph is a curriculum-aligned knowledge graph built from official People's Education Press (PEP) K-12 textbooks. It focuses on **curriculum cognition**, namely the structured understanding of how school knowledge is organized, connected, and sequenced. The current release covers **mathematics, physics, chemistry, and biology** across **primary, middle, and high school**, and includes | Artifact: Hugging Face dataset repository | Notes: Artifact location: Hugging Face dataset repository. Population corrected: Chinese curriculum knowledge graph; multilingual/language learner label removed.",Dataset/artifact likely available,Hugging Face dataset repository URL plus retained dataset inventory row.,Medium - plausible dataset public good; one or more factors need verification,"Dataset/artifact evidence is present, but license, documentation, access, or grade-span relevance still needs verification.",,,,2026-04-30,,True,v18 - verified
hf_dataset_4047161f5d4d,pedagogy-luganda-reviewed,,https://huggingface.co/datasets/CraneAILabs/pedagogy-luganda-reviewed,Dataset,Near Ready: relevance weak; documentation + license clear,Near Ready: education relevance weak because this is primarily reviewed AI-generated Luganda pedagogy/translation-quality data; direct K-12 public-good use needs verification.,Education relevance broader or unclear,Sufficient documentation,Open/reusable license,foundational literacy; Cross-subject,P1-P3,Other / unclear stated grade,teachers/educators,Quality assessment of AI-generated Luganda educational content; Training reward models for Luganda translation quality,Open (Apache-2.0),Sufficient for review,299,Crane AI Labs,Uganda,Hugging Face dataset repository,"Evidence: Hugging Face dataset: ## Description 299 Luganda pedagogical examples reviewed by native speakers for linguistic accuracy and cultural appropriateness. Includes original AI-generated Luganda alongside reviewer scores and comments. Part of the FabAI project for offline AI teacher companions in Ugandan primary schools (P1-P3). ## Intended Use - Quality assessment of AI-generated Luganda educational content - Training reward models for Luganda translation quality ## Limitations - Limited to P1-P3 foundational literacy content - Reviews reflect individual reviewer judgments ## Authors Bakunga, Bro | Artifact: Hugging Face dataset repository | Notes: Artifact location: Hugging Face dataset repository.",Dataset/artifact likely available,Hugging Face dataset repository URL plus retained dataset inventory row.,Medium - plausible dataset public good; one or more factors need verification,"Dataset/artifact evidence is present, but license, documentation, access, or grade-span relevance still needs verification.",,,,2025-12-02,,True,v18 - verified
hf_dataset_f8238afc3e54,Question-Anchored-Tutoring-Dialogues-2k,,https://huggingface.co/datasets/Eedi/Question-Anchored-Tutoring-Dialogues-2k,Dataset,Near Ready: license insufficient; relevance + documentation clear,Near Ready: license insufficient; relevance + documentation clear. Relevance: Strong K-12 relevance; Documentation: Sufficient documentation; License: Noncommercial/reuse constrained.,Strong K-12 relevance,Sufficient documentation,Noncommercial/reuse constrained,Math,K-12,K-12 or pre-K-12,general students; tutors/educators,Model training/fine-tuning for dialogue modeling in math tutoring; Research on effective tutoring interactions and student understanding,Non-commercial (CC BY-NC 4.0),Sufficient for review,79574,Eedi,USA,Hugging Face dataset repository,"Evidence: Hugging Face dataset: # Question-Anchored-Tutoring-Dialogues-2k This dataset contains dialogues from math tutoring interventions recorded on Eedi. ## Dataset Details ### Dataset Description Each dialogue represents a chat-based conversation between a tutor and a student prompted by the student requesting assistance while working on a lesson. Dialogues are accompanied with 2 sources of meta-data: 1. DQ-Question-Metadata: The question the student was working on that prompted the tutoring session. 2. Dialogue-Subjects: The subject, topic(s), and subtopic(s) of the lesson the student was working o | Artifact: Hugging Face dataset repository | Notes: Verify: grade span.",Dataset/artifact likely available,Hugging Face dataset repository URL plus retained dataset inventory row.,Medium - plausible dataset public good; one or more factors need verification,"Dataset/artifact evidence is present, but license, documentation, access, or grade-span relevance still needs verification.",,,,2025-04-15,,True,v18 - verified
hf_dataset_5aa5d54bbc4b,MM-K12,,https://huggingface.co/datasets/Cierra0506/MM-K12,Dataset,Near Ready: documentation insufficient; relevance + license clear,Near Ready: documentation insufficient; relevance + license clear. Relevance: Strong K-12 relevance; Documentation: Partial documentation; License: Open/reusable license.,Strong K-12 relevance,Partial documentation,Open/reusable license,Math,K-12,K-12 or pre-K-12,Not specified,"Supervised training, evaluation, and reward modeling for multimodal mathematical reasoning tasks",Open (MIT),Partial,10000,AI45Research,China,Hugging Face dataset repository,"Evidence: Hugging Face dataset: # MM-K12 [\[📂 GitHub\]](https://github.com/ModalMinds/MM-PRM) [\[📜 Paper\]](https://arxiv.org/abs/2505.13427) MM-K12 is a curated, high-quality dataset containing 10,000 multimodal math problems sourced from K-12 educational content. Each problem includes both textual and visual components, covering a wide range of mathematical topics (e.g., arithmetic, geometry, algebra). All problems have unique, verifiable answers, making the dataset ideal for supervised training, evaluation, and reward modeling in multimodal mathematical reasoning tasks. The dataset serves as seed dat | Artifact: Hugging Face dataset repository | Notes: Verify: population/stakeholder.",Dataset/artifact likely available,Hugging Face dataset repository URL plus retained dataset inventory row.,Medium - plausible dataset public good; one or more factors need verification,"Dataset/artifact evidence is present, but license, documentation, access, or grade-span relevance still needs verification.",,,,2025-05-26,,True,v18 - verified
hf_dataset_e7869a380f82,BharatLLM K-12 Indian Curriculum Dataset (4.9M),,https://huggingface.co/datasets/FoundryAILabs/k12-indian-curriculum-4.9m,Dataset,Near Ready: relevance weak; documentation + license clear,Near Ready: education relevance weak because it is a large curriculum/text corpus for LLM adaptation; direct reusable K-12 public-good use needs verification.,Education relevance broader or unclear,Partial documentation,Open/reusable license,Cross-subject,K-12,K-12 or pre-K-12,general students; multilingual learners,Training/fine-tuning LLMs for K-12 question answering and text generation across Indian languages; Educational content generation for Indian curricula,Open (Apache-2.0),Partial,4537043,FoundryAILabs,India,Hugging Face dataset repository,"Evidence: Hugging Face dataset: # BharatLLM K-12 Indian Curriculum Dataset (4.9M) **4,904,936 question-answer pairs** covering **CBSE/NCERT K-12 curriculum** across **12 Indian languages**. | Language | Script | Entries | |----------|--------|---------| | English | Latin | ~594K | | Hindi | Devanagari | ~449K | | Bengali | Bengali | ~408K | | Telugu | Telugu | ~408K | | Tamil | Tamil | ~408K | | Kannada | Kannada | ~408K | | Malayalam | Malayalam | ~408K | | Marathi | Devanagari | ~408K | | Gujarati | Gujarati | [truncated] | Artifact: Hugging Face dataset repository | Notes: Artifact location: Hugging Face dataset repository.",Dataset/artifact likely available,Hugging Face dataset repository URL plus retained dataset inventory row.,Medium - plausible dataset public good; one or more factors need verification,"Dataset/artifact evidence is present, but license, documentation, access, or grade-span relevance still needs verification.",,,,2026-03-30,,True,v18 - verified
hf_dataset_c22a3162d53d,ijanhq8809/k12-ela-standards,,https://huggingface.co/datasets/ijanhq8809/k12-ela-standards,Dataset,Near Ready: documentation insufficient; relevance + license clear,"Downgraded after consistency audit: K-12 ELA relevance is clear, but the producer/source provenance and generated AI-training-sample construction require verification before Ready status.",Strong K-12 relevance,Partial documentation,Open/reusable license,English Language Arts; Reading Literature; Reading Informational Text; Writing; Speaking and Listening; Language; Grammar; Vocabulary,K-12,K-12 or pre-K-12,general students; AI developers; educators,"AI training and educational technology development for K-12 ELA, including reading comprehension AI, writing assistant tools, vocabulary development, literacy assessment, curriculum planning, and differentiated instruction.",Open (CC BY 4.0),Sufficient for review,6487,Educational AI Research Collective,Not specified,Hugging Face dataset repository,"Evidence: Hugging Face dataset: # K-12 English Language Arts Standards Dataset ## 📚 Comprehensive ELA Education Dataset This dataset provides complete K-12 English Language Arts standards coverage for AI training and educational technology development. ### 📊 Dataset Summary The K-12 ELA Standards Dataset contains: - **546 educational standards** across K-12 - **6487 AI training samples** - **Complete coverage** of all major ELA domains ### 🎓 Educational Coverage - **📖 Reading Literature**: Fiction, poetry, drama, and literary analysis - **📰 Reading Informational Text**: Non-fiction, articles, and inform | Artifact: Hugging Face dataset repository | Notes: Artifact location: Hugging Face dataset repository.",Dataset/artifact likely available,Hugging Face dataset repository URL plus retained dataset inventory row.,Medium - plausible dataset public good; one or more factors need verification,"Dataset/artifact evidence is present, but license, documentation, access, or grade-span relevance still needs verification.",,,,2026-01-09,,True,v18 - verified
hf_dataset_4ae6deb2ad82,GYPCC2/korean-tutoring-persona-dataset,,https://huggingface.co/datasets/GYPCC2/korean-tutoring-persona-dataset,Dataset,Near Ready: documentation insufficient; relevance + license clear,"Downgraded after consistency audit: tutoring relevance is plausible, but artifact size/data availability and intended learner context require verification before Ready status.",Strong K-12 relevance,Partial documentation,Open/reusable license,Language learning; Korean language; Tutoring-General; Grammar; Error Correction; Multi-turn dialogue,Primary / secondary,K-12 or pre-K-12,Korean language learners; users of bilingual tutoring systems,"Evaluating learner persona modeling in bilingual Korean tutoring systems; evaluating instructional consistency, difficulty alignment, and error-targeted feedback.",Open (CC BY 4.0),Sufficient for review,0,Not specified,Not specified,Hugging Face dataset repository,"Evidence: Hugging Face dataset: Korean Tutoring Persona Dataset --- Overview --- This dataset is constructed to evaluate the impact of learner persona modeling in bilingual Korean tutoring systems. Each instance includes: - Learner persona information - Task type (grammar, error correction, multi-turn dialogue) - Input query - Three responses generated under different persona configurations --- Data Structure --- Each data instance is formatted as: - persona: learner profile (TOPIK level, native language, etc.) - task: task type - query: input question - response_R1: full persona response - response_R2: | Artifact: Hugging Face dataset repository | Notes: Artifact location: Hugging Face dataset repository.",Dataset/artifact likely available,Hugging Face dataset repository URL plus retained dataset inventory row.,Medium - plausible dataset public good; one or more factors need verification,"Dataset/artifact evidence is present, but license, documentation, access, or grade-span relevance still needs verification.",,,,2026-03-17,,True,v18 - verified
