resource_name,organization,announcement_date,expected_release_date,status,source_url,description,estimated_size,source_type,preview_available,last_updated
DrivenData: K-12 Education Competitions,DrivenData,2026-08-03,,Expected Release,https://www.drivendata.org/competitions/,Open data science competitions focused on education and K-12 AI,,competition,Yes,2026-08-03
"ArXiv: The Theoretical Foundation of Socratic Tests: Dynamic, Multimodal, Conversationa",ArXiv,2026-07-31,,Published,https://arxiv.org/abs/2607.29624v1,Research paper with educational AI resource,,research_paper,Yes,2026-08-03
ArXiv: TerraNova: A Foundation Model for the Anthropocene,ArXiv,2026-07-31,,Published,https://arxiv.org/abs/2607.29527v1,Research paper with educational AI resource,,model,Yes,2026-08-03
ArXiv: The Deployment Wall: A Diagnostic Framework and Instrument for Enterprise AI in ,ArXiv,2026-07-31,,Published,https://arxiv.org/abs/2607.29089v1,Research paper with educational AI resource,,research_paper,Yes,2026-08-03
ArXiv: The Role of Causality in Algorithmic Recourse,ArXiv,2026-07-30,,Published,https://arxiv.org/abs/2607.28497v1,Research paper with educational AI resource,,research_paper,Yes,2026-08-03
ArXiv: Structured AI Demonstrations and Student LLM Use in Engineering Mechanics: Study,ArXiv,2026-07-30,,Published,https://arxiv.org/abs/2607.28710v1,Research paper with educational AI resource,,research_paper,Yes,2026-08-03
ArXiv: Fairness Pruning: Locating Demographic Bias in GLU-MLP Layers via Differential A,ArXiv,2026-07-30,,Published,https://arxiv.org/abs/2607.28319v1,Research paper with educational AI resource,,research_paper,Yes,2026-08-03
ArXiv: Technology-Enhanced Tabletop Exercises for Cybersecurity Education: Lessons Lear,ArXiv,2026-07-30,,Published,https://arxiv.org/abs/2607.28179v1,Research paper with educational AI resource,,research_paper,Yes,2026-08-03
ArXiv: Rethinking LLM-Judged Helpfulness as a Pedagogy Signal: A Pre-Registered Audit A,ArXiv,2026-07-30,,Published,https://arxiv.org/abs/2607.28128v1,Research paper with educational AI resource,,model,Yes,2026-08-03
ArXiv: Can AI agents conduct open-ended AI research? Early evidence from two case studi,ArXiv,2026-07-29,,Published,https://arxiv.org/abs/2607.27191v1,Research paper with educational AI resource,,research_paper,Yes,2026-08-03
ArXiv: Constitutional Midtraining: Content Presence Drives Alignment Gains,ArXiv,2026-07-29,,Published,https://arxiv.org/abs/2607.26654v2,Research paper with educational AI resource,,research_paper,Yes,2026-08-03
GitHub transformers: Release v5.14.0,GitHub - huggingface,2026-07-15,,Released,https://github.com/huggingface/transformers/releases/tag/v5.14.0,"# Release v5.14.0

## New Model additions

### Inkling (fresh from Thinking Machines): 975B total, 41B active

* Add Inkling model #47347 by @mo",,github_release,Yes,2026-08-03
HuggingFace: Glint-Research/Fable-5-traces,HuggingFace,2026-08-03,,Available,https://huggingface.co/datasets/Glint-Research/Fable-5-traces,"
  



  
    
      
        Glint Research Dataset Card
        Fable 5 Pi Agent Traces
        A compact, high-signal corpus of Fable 5 coding-agen",,dataset,Yes,2026-08-03
HuggingFace: ianncity/GLM-5.2-Conversation,HuggingFace,2026-08-03,,Available,https://huggingface.co/datasets/ianncity/GLM-5.2-Conversation,"
  





	
		
	
	
		GLM-5.2 · Conversation-50000x
	

50,000x traces distilled from GLM-5.2 on High reasoning

	
		
	
	
		Token Count: 120M
	





	
		",,dataset,Yes,2026-08-03
HuggingFace: r0b0tlab/qwen3.8-max-distillation-50k,HuggingFace,2026-08-03,,Available,https://huggingface.co/datasets/r0b0tlab/qwen3.8-max-distillation-50k,"
	
		
	
	
		Qwen3.8-Max Distillation 50K
	

A curated dataset of 49,772 teacher-generated traces from qwen3.8-max-preview, prepared for supervised fin",,dataset,Yes,2026-08-03
